planner,track,suite,domain,tasks,solved,coverage_pct,SOLVED,TIMEOUT,MEMOUT,KILLED,ERROR,UNSUPPORTED,EXHAUSTED,UNSOLVABLE,median_solved_seconds,median_solved_mb,median_plan_length
PLASPPlanner-seq,numeric,classical-domains,pegsol-08-strips,30,12,40.0,12,18,0,0,0,0,0,0,8.8,160.7,12.0
PLASPPlanner-seq,numeric,classical-domains,pegsol-opt11-strips,20,2,10.0,2,18,0,0,0,0,0,0,673.6,193.1,21.0
PLASPPlanner-seq,numeric,classical-domains,pegsol-sat11-strips,20,1,5.0,1,19,0,0,0,0,0,0,1263.1,222.8,26
PLASPPlanner-seq,numeric,classical-domains,petri-net-alignment-opt18,20,0,0.0,0,20,0,0,0,0,0,0,,,
PLASPPlanner-seq,numeric,classical-domains,scanalyzer-08-strips,30,7,23.3,7,23,0,0,0,0,0,0,4.3,135.4,6
PLASPPlanner-seq,numeric,classical-domains,scanalyzer-opt11-strips,20,4,20.0,4,16,0,0,0,0,0,0,103.7,180.1,9.0
PLASPPlanner-seq,numeric,classical-domains,scanalyzer-sat11-strips,20,0,0.0,0,20,0,0,0,0,0,0,,,
PLASPPlanner-seq,numeric,classical-domains,settlers-opt18,20,4,20.0,4,16,0,0,0,0,0,0,44.8,1117.2,10.5
PLASPPlanner-seq,numeric,classical-domains,settlers-sat18,20,0,0.0,0,2,16,2,0,0,0,0,,,
PLASPPlanner-seq,numeric,classical-domains,sokoban-opt08-strips,30,3,10.0,3,27,0,0,0,0,0,0,562.0,194.9,49
PLASPPlanner-seq,numeric,classical-domains,sokoban-opt11-strips,20,0,0.0,0,20,0,0,0,0,0,0,,,
PLASPPlanner-seq,numeric,classical-domains,sokoban-sat08-strips,30,1,3.3,1,29,0,0,0,0,0,0,319.1,178.0,35
PLASPPlanner-seq,numeric,classical-domains,sokoban-sat11-strips,20,0,0.0,0,20,0,0,0,0,0,0,,,
PLASPPlanner-seq,numeric,classical-domains,spider-opt18,20,0,0.0,0,20,0,0,0,0,0,0,,,
PLASPPlanner-seq,numeric,classical-domains,spider-sat18,20,0,0.0,0,12,8,0,0,0,0,0,,,
PLASPPlanner-seq,numeric,classical-domains,tetris-opt14-strips,17,2,11.8,2,9,0,6,0,0,0,0,132.1,418.2,7.5
PLASPPlanner-seq,numeric,classical-domains,tetris-sat14-strips,20,0,0.0,0,10,9,1,0,0,0,0,,,
PLASPPlanner-seq,numeric,classical-domains,transport-opt08-strips,30,9,30.0,9,21,0,0,0,0,0,0,6.7,133.4,12
PLASPPlanner-seq,numeric,classical-domains,transport-opt11-strips,20,4,20.0,4,16,0,0,0,0,0,0,396.7,166.9,17.0
PLASPPlanner-seq,numeric,classical-domains,transport-opt14-strips,20,2,10.0,2,18,0,0,0,0,0,0,238.4,154.9,14.5
PLASPPlanner-seq,numeric,classical-domains,transport-sat08-strips,30,4,13.3,4,26,0,0,0,0,0,0,1.4,126.0,9.5
PLASPPlanner-seq,numeric,classical-domains,transport-sat11-strips,20,0,0.0,0,20,0,0,0,0,0,0,,,
PLASPPlanner-seq,numeric,classical-domains,transport-sat14-strips,20,0,0.0,0,20,0,0,0,0,0,0,,,
PLASPPlanner-seq,numeric,classical-domains,woodworking-opt08-strips,30,9,30.0,9,21,0,0,0,0,0,0,4.3,135.3,9
PLASPPlanner-seq,numeric,classical-domains,woodworking-opt11-strips,20,4,20.0,4,16,0,0,0,0,0,0,150.4,154.6,12.0
PLASPPlanner-seq,numeric,classical-domains,woodworking-sat08-strips,30,5,16.7,5,24,0,0,1,0,0,0,327.1,170.4,13
PLASPPlanner-seq,numeric,classical-domains,woodworking-sat11-strips,20,0,0.0,0,19,0,0,1,0,0,0,,,
PLASPPlanner-seq,numeric,numeric-domains,15-puzzle,100,0,0.0,0,3,33,64,0,0,0,0,,,
PLASPPlanner-seq,numeric,numeric-domains,2048,20,0,0.0,0,1,3,16,0,0,0,0,,,
PLASPPlanner-seq,numeric,numeric-domains,block-grouping,192,7,3.6,7,17,1,167,0,0,0,0,501.3,369.1,9
PLASPPlanner-seq,numeric,numeric-domains,coins,20,0,0.0,0,0,18,2,0,0,0,0,,,
PLASPPlanner-seq,numeric,numeric-domains,counters,55,10,18.2,10,44,0,1,0,0,0,0,1.9,126.7,4.5
PLASPPlanner-seq,numeric,numeric-domains,delivery,20,1,5.0,1,9,10,0,0,0,0,0,131.2,270.3,10
PLASPPlanner-seq,numeric,numeric-domains,depots,20,0,0.0,0,0,16,4,0,0,0,0,,,
PLASPPlanner-seq,numeric,numeric-domains,driverlog,20,0,0.0,0,0,0,0,20,0,0,0,,,
PLASPPlanner-seq,numeric,numeric-domains,drone,20,2,10.0,2,18,0,0,0,0,0,0,2.5,137.7,7.0
PLASPPlanner-seq,numeric,numeric-domains,elevators,30,1,3.3,1,29,0,0,0,0,0,0,79.8,191.7,9
PLASPPlanner-seq,numeric,numeric-domains,expedition,20,0,0.0,0,19,1,0,0,0,0,0,,,
PLASPPlanner-seq,numeric,numeric-domains,ext-plant-watering,20,0,0.0,0,14,6,0,0,0,0,0,,,
PLASPPlanner-seq,numeric,numeric-domains,factory-robot,20,0,0.0,0,0,0,0,0,20,0,0,,,
PLASPPlanner-seq,numeric,numeric-domains,farmland,50,0,0.0,0,50,0,0,0,0,0,0,,,
PLASPPlanner-seq,numeric,numeric-domains,fo-counters,20,1,5.0,1,19,0,0,0,0,0,0,1.4,122.0,2
PLASPPlanner-seq,numeric,numeric-domains,fo-farmland,50,0,0.0,0,0,0,0,0,50,0,0,,,
PLASPPlanner-seq,numeric,numeric-domains,fo-sailing,20,0,0.0,0,0,0,0,0,20,0,0,,,
PLASPPlanner-seq,numeric,numeric-domains,forestfire,20,2,10.0,2,18,0,0,0,0,0,0,120.0,192.6,25.0
PLASPPlanner-seq,numeric,numeric-domains,gear-car,20,0,0.0,0,0,0,0,0,20,0,0,,,
PLASPPlanner-seq,numeric,numeric-domains,hydropower,30,0,0.0,0,0,0,0,0,30,0,0,,,
PLASPPlanner-seq,numeric,numeric-domains,line-exchange-snp,20,0,0.0,0,0,0,0,0,20,0,0,,,
PLASPPlanner-seq,numeric,numeric-domains,markettrader,20,0,0.0,0,0,11,9,0,0,0,0,,,
PLASPPlanner-seq,numeric,numeric-domains,minecraft-pogo-advanced,20,9,45.0,9,11,0,0,0,0,0,0,449.7,782.2,6
PLASPPlanner-seq,numeric,numeric-domains,minecraft-sword-advanced,20,20,100.0,20,0,0,0,0,0,0,0,21.3,951.2,2.0
PLASPPlanner-seq,numeric,numeric-domains,mprime,30,24,80.0,24,6,0,0,0,0,0,0,4.5,195.4,6.0
