planner,track,suite,domain,tasks,solved,coverage_pct,SOLVED,TIMEOUT,MEMOUT,KILLED,ERROR,UNSUPPORTED,EXHAUSTED,UNSOLVABLE,median_solved_seconds,median_solved_mb,median_plan_length
PLASPPlanner-seq,temporal,ipc2018-temporal,Cushing,10,1,10.0,1,9,0,0,0,0,0,0,2.1,141.5,6
PLASPPlanner-seq,temporal,ipc2018-temporal,Floortile,10,0,0.0,0,10,0,0,0,0,0,0,,,
PLASPPlanner-seq,temporal,ipc2018-temporal,Mapanalyser,10,0,0.0,0,0,9,1,0,0,0,0,,,
PLASPPlanner-seq,temporal,ipc2018-temporal,Parking,10,0,0.0,0,7,3,0,0,0,0,0,,,
PLASPPlanner-seq,temporal,ipc2018-temporal,airport-temporal-strips,10,2,20.0,2,0,8,0,0,0,0,0,16.3,277.5,19.0
PLASPPlanner-seq,temporal,ipc2018-temporal,quantum_circuit,10,2,20.0,2,3,5,0,0,0,0,0,23.1,218.5,4.5
PLASPPlanner-seq,temporal,ipc2018-temporal,road-traffic-accident,10,0,0.0,0,0,8,2,0,0,0,0,,,
PLASPPlanner-seq,temporal,ipc2018-temporal,sokoban,10,0,0.0,0,0,9,1,0,0,0,0,,,
PLASPPlanner-seq,temporal,ipc2018-temporal,trucks-time-strips,10,0,0.0,0,0,10,0,0,0,0,0,,,
